trade_id,trade_date,settlement_date,buyer_id,seller_id,instrument_id,quantity,price
T000001,2025-01-03,2025-01-04,PARTY001,PARTY006,STOCK_B,25,24.1
T000002,2025-01-03,2025-01-04,PARTY009,PARTY002,STOCK_E,100,114.38
T000003,2025-01-03,2025-01-04,PARTY004,PARTY005,STOCK_E,250,114.32
T000004,2025-01-05,2025-01-06,PARTY009,PARTY007,STOCK_B,100,25.22
T000005,2025-01-02,2025-01-03,PARTY003,PARTY008,STOCK_C,50,53.11
T000006,2025-01-07,2025-01-08,PARTY002,PARTY003,STOCK_D,10,78.87
T000007,2025-01-07,2025-01-08,PARTY010,PARTY005,STOCK_A,500,9.96
T000008,2025-01-03,2025-01-04,PARTY007,PARTY002,STOCK_E,50,123.95
T000009,2025-01-11,2025-01-12,PARTY006,PARTY004,STOCK_A,10,10.16
T000010,2025-01-06,2025-01-07,PARTY002,PARTY005,STOCK_A,100,9.78
T000011,2025-01-07,2025-01-08,PARTY003,PARTY007,STOCK_C,25,55.94
T000012,2025-01-03,2025-01-04,PARTY010,PARTY003,STOCK_E,500,116.94
T000013,2025-01-09,2025-01-10,PARTY007,PARTY005,STOCK_E,25,122.22
T000014,2025-01-02,2025-01-03,PARTY004,PARTY001,STOCK_C,100,53.72
T000015,2025-01-05,2025-01-06,PARTY010,PARTY006,STOCK_B,500,25.0
T000016,2025-01-09,2025-01-10,PARTY003,PARTY006,STOCK_B,25,25.61
T000017,2025-01-10,2025-01-11,PARTY005,PARTY008,STOCK_E,100,118.34
T000018,2025-01-04,2025-01-05,PARTY009,PARTY008,STOCK_A,1000,9.55
T000019,2025-01-03,2025-01-04,PARTY003,PARTY004,STOCK_D,250,76.51
T000020,2025-01-08,2025-01-09,PARTY010,PARTY008,STOCK_E,50,125.65
T000021,2025-01-02,2025-01-03,PARTY002,PARTY010,STOCK_C,1000,55.78
T000022,2025-01-03,2025-01-04,PARTY005,PARTY008,STOCK_B,100,23.76
T000023,2025-01-06,2025-01-07,PARTY009,PARTY003,STOCK_E,10,124.45
T000024,2025-01-06,2025-01-07,PARTY009,PARTY004,STOCK_B,50,25.66
T000025,2025-01-10,2025-01-11,PARTY009,PARTY001,STOCK_E,50,119.86
T000026,2025-01-03,2025-01-04,PARTY006,PARTY005,STOCK_B,10,24.35
T000027,2025-01-11,2025-01-12,PARTY002,PARTY003,STOCK_D,1000,76.55
T000028,2025-01-10,2025-01-11,PARTY003,PARTY004,STOCK_D,250,77.32
T000029,2025-01-10,2025-01-11,PARTY010,PARTY007,STOCK_B,250,25.64
T000030,2025-01-05,2025-01-06,PARTY005,PARTY008,STOCK_C,100,57.2
T000031,2025-01-09,2025-01-10,PARTY002,PARTY005,STOCK_B,10,24.6
T000032,2025-01-11,2025-01-12,PARTY009,PARTY004,STOCK_E,25,114.09
T000033,2025-01-02,2025-01-03,PARTY004,PARTY002,STOCK_A,1000,9.83
T000034,2025-01-10,2025-01-11,PARTY004,PARTY006,STOCK_D,25,80.31
T000035,2025-01-11,2025-01-12,PARTY010,PARTY008,STOCK_B,1000,24.93
T000036,2025-01-08,2025-01-09,PARTY004,PARTY002,STOCK_A,500,9.93
T000037,2025-01-08,2025-01-09,PARTY007,PARTY009,STOCK_A,500,10.15
T000038,2025-01-03,2025-01-04,PARTY001,PARTY008,STOCK_C,1000,56.99
T000039,2025-01-05,2025-01-06,PARTY004,PARTY005,STOCK_E,100,115.68
T000040,2025-01-04,2025-01-05,PARTY005,PARTY009,STOCK_B,1000,26.06
T000041,2025-01-09,2025-01-10,PARTY009,PARTY002,STOCK_A,500,10.5
T000042,2025-01-02,2025-01-03,PARTY002,PARTY005,STOCK_B,100,24.96
T000043,2025-01-05,2025-01-06,PARTY007,PARTY001,STOCK_B,100,23.76
T000044,2025-01-08,2025-01-09,PARTY005,PARTY009,STOCK_C,100,56.08
